author,updated_at,like_count,text,video_id,cleaned_text,sentiment,sentiment_score,keywords,entities,topic
@LewismutwiriMiriti-d9y,2026-06-29T05:11:11Z,0,From 🇰🇪 congratulation canada for mauling xenophobia fc😂😂😂😂😂😂😂🤸🏻🤸🏼‍♂️🤸🏼‍♂️🤸🏼‍♂️🤸🏼‍♂️🤸🏻.,HW51rM36Ark,from congratulation canada for mauling xenophobia fruit cake,positive,0.5994,"['xenophobia fruit', 'mauling xenophobia', 'canada mauling']","[('congratulation canada', 'ORG')]",16
@PurnaGurung-uq5tg,2026-06-29T04:45:31Z,1,I see the pressure of knockout round😮,HW51rM36Ark,i see the pressure of knockout round,negative,-0.296,"['pressure knockout', 'knockout round', 'knockout']",[],-1
@ReactionTv-l7s,2026-06-29T04:41:54Z,1,I love Portugal and Brazil 🇧🇷❤️‍🩹💥💥,HW51rM36Ark,i love portugal and brazil,positive,0.6369,"['love portugal', 'portugal brazil', 'portugal']","[('portugal', 'GPE'), ('brazil', 'GPE')]",-1
@theodoremwamburi3410,2026-06-29T04:35:55Z,1,It was a hard fought win for Canada.Kudos Canada 💪💪💪,HW51rM36Ark,it was a hard fought win for canada kudos canada,positive,0.6597,"['win canada', 'canada kudos', 'kudos canada']","[('canada', 'GPE'), ('canada', 'GPE')]",16
@Concerned36,2026-06-29T04:24:38Z,1,Just Africans playing against each other,HW51rM36Ark,just africans playing against each other,positive,0.2023,"['africans playing', 'just africans', 'africans']",[],16
@brahimdaoui1611,2026-06-29T04:17:06Z,0,"Je  félicite le Canada pour sa qualification au 8ème de finale.
Les sud africains à vos valises, dégagez et passez voir Ben Battouch.",HW51rM36Ark,je félicite le canada pour sa qualification au 8ème de finale les sud africains à vos valises dégagez et passez voir ben battouch,neutral,0.0,"['sud africains', 'pour sa', 'africains vos']","[('félicite le canada', 'ORG')]",39
@perminuskamau9999,2026-06-29T04:14:18Z,2,Congratulations to Canada 🎉🇰🇪,HW51rM36Ark,congratulations to canada,positive,0.5994,"['congratulations canada', 'congratulations', 'canada']","[('canada', 'GPE')]",16
@Lema-MA,2026-06-29T04:11:40Z,1,"Africa Stand UP and rejoice, against the coloniser sympathisers.",HW51rM36Ark,africa stand up and rejoice against the coloniser sympathisers,positive,0.4404,"['africa stand', 'africa', 'coloniser sympathisers']","[('africa', 'LOC')]",16
@ikeforson4034,2026-06-29T03:58:22Z,0,"Am very happy today since I was born. 
Canada 🇨🇦 1 - Animals of South Africa 🇿🇦 0",HW51rM36Ark,am very happy today since i was born canada 1 animals of south africa 0,positive,0.6115,"['canada animals', 'born canada', 'happy today']","[('canada', 'GPE'), ('south africa', 'GPE')]",16
@petermomanyi6368,2026-06-29T03:44:05Z,0,Finally  they are going home to look after their business😂,HW51rM36Ark,finally they are going home to look after their business,neutral,0.0,"['look business', 'going home', 'home look']",[],-1
@Mahmud-m7q,2026-06-29T03:42:31Z,2,Canada has played well from the start. They deserved the victory❤,HW51rM36Ark,canada has played well from the start they deserved the victory,positive,0.5423,"['canada played', 'deserved victory', 'start deserved']","[('canada', 'GPE')]",16
@oxxo902,2026-06-29T03:35:44Z,1,South Africa did well but wasn’t lucky enough to avoid this goal.,HW51rM36Ark,south africa did well but wasn t lucky enough to avoid this goal,positive,0.3506,"['south africa', 'africa did', 'avoid goal']","[('south africa', 'GPE')]",16
@ronrob578,2026-06-29T03:12:04Z,0,Canada 👍👍👍👍👍,HW51rM36Ark,canada,neutral,0.0,[],"[('canada', 'GPE')]",124
@peterirungumwangi,2026-06-29T03:01:59Z,1,It's funny 😅 this time this players are playing very good in last time,HW51rM36Ark,it s funny this time this players are playing very good in last time,positive,0.7841,"['playing good', 'players playing', 'time players']",[],-1
@aklilushiferawgebre795,2026-06-29T02:55:43Z,0,Go homes try to stops xenophobia.  Inshalla see you next world cup  no deserved  lost.,HW51rM36Ark,go homes try to stops xenophobia inshalla see you next world cup no deserved lost,negative,-0.2115,"['xenophobia inshalla', 'stops xenophobia', 'xenophobia']",[],-1
@sidhuofficial942,2026-06-29T02:39:43Z,0,Congratulations Canada from India Punjab❤,HW51rM36Ark,congratulations canada from india punjab,positive,0.5994,"['congratulations canada', 'canada india', 'punjab']","[('congratulations canada', 'ORG'), ('india', 'GPE')]",16
@freetorv3sta155,2026-06-29T02:31:05Z,2,No SA. Not like that..😢 Fought hard just to concede a goal at stoppage time life is truly unfair,HW51rM36Ark,no sa not like that fought hard just to concede a goal at stoppage time life is truly unfair,negative,-0.4493,"['concede goal', 'truly unfair', 'unfair']",[],106
@jazzyhIGH,2026-06-29T02:15:09Z,0,Literally ur best Africans vs my best Africans 😂🤤,HW51rM36Ark,literally your best africans vs my best africans,positive,0.8555,"['best africans', 'africans vs', 'africans']",[],-1
@karimmbarki,2026-06-29T01:51:47Z,1,Frogs to the swamps..,HW51rM36Ark,frogs to the swamps,neutral,0.0,"['frogs swamps', 'frogs', 'swamps']",[],-1
@karimmbarki,2026-06-29T01:50:43Z,1,Go Canada.. You are the best..,HW51rM36Ark,go canada you are the best,positive,0.6369,"['canada best', 'canada', 'best']","[('canada', 'GPE')]",16
@KingsleyNwanya-g3f,2026-06-29T01:46:10Z,0,Go beck 😂,HW51rM36Ark,go beck,neutral,0.0,[],[],-1
@liadiabiodun6981,2026-06-29T01:45:13Z,1,GOOOO BEEEECK TO YAA COUNTRY😂😂😂😂😂😂😂😂😂😂😂😂😂,HW51rM36Ark,goooo beeeeck to yaa country,neutral,0.0,"['yaa country', 'beeeeck yaa', 'goooo beeeeck']","[('yaa', 'ORG')]",79
@HakimovitchHD,2026-06-29T01:25:35Z,2,"Congratulations to Canada, greetings from Morocco.",HW51rM36Ark,congratulations to canada greetings from morocco,positive,0.7717,"['canada greetings', 'greetings morocco', 'congratulations canada']","[('canada', 'GPE'), ('morocco', 'GPE')]",16
@tariqal-basha5719,2026-06-29T01:16:14Z,0,please a shorter highlight of 90 seconds,HW51rM36Ark,please a shorter highlight of 90 seconds,positive,0.5719,"['shorter highlight', '90 seconds', 'highlight 90']",[],27
@baselabdelfattah9394,2026-06-29T01:13:52Z,0,"So sad to see south africa lose 
All love from Egypt",HW51rM36Ark,so sad to see south africa lose all love from egypt,negative,-0.2247,"['love egypt', 'africa lose', 'south africa']","[('south africa', 'GPE'), ('egypt', 'GPE')]",16
@sh230968,2026-06-29T00:38:13Z,1,RSA deserved to win.,HW51rM36Ark,rsa deserved to win,positive,0.5859,"['rsa deserved', 'deserved win', 'rsa']","[('rsa', 'PERSON')]",89
@anouarben3056,2026-06-29T00:34:25Z,0,❤🇨🇦,HW51rM36Ark,,neutral,0.0,[],[],0
@KarimBegriche-y9y,2026-06-29T00:01:52Z,6,"Sad to see South Africa eliminated. Hard luck. Greetings from Algeria.
 🇩🇿❤🇿🇦",HW51rM36Ark,sad to see south africa eliminated hard luck greetings from algeria,positive,0.3182,"['greetings algeria', 'algeria', 'africa eliminated']","[('south africa', 'GPE'), ('algeria', 'GPE')]",16
@hasnainarnob6479,2026-06-28T23:45:13Z,4,"Well played South Africa.
Congratulations Canada.",HW51rM36Ark,well played south africa congratulations canada,positive,0.8126,"['congratulations canada', 'africa congratulations', 'south africa']","[('south africa congratulations', 'ORG'), ('canada', 'GPE')]",16
@MariaMaria-jr8cc,2026-06-28T23:33:38Z,0,Boring match.......congratulations to Canada 🇨🇦,HW51rM36Ark,boring match congratulations to canada,positive,0.3818,"['boring match', 'congratulations canada', 'match congratulations']","[('boring match congratulations', 'ORG'), ('canada', 'GPE')]",16
@AghNaaShaWorld,2026-06-28T23:24:23Z,1,"Bad luck SA, better luck next time",HW51rM36Ark,bad luck sa better luck next time,positive,0.6597,"['luck sa', 'bad luck', 'luck time']",[],-1
@syrian-weeb,2026-06-28T22:53:13Z,0,"جنوب افريقيا رفعوا ضغطي 

اداء رهيب من الحارس وانقاذ من الدفاع 
بس التمريرات كلها غير دقيقة واستحواذ ضعيف، ب سيناريو تاني كان ممكن تخلص 3 صفر ل كندا",HW51rM36Ark,جنوب افريقيا رفعوا ضغطي اداء رهيب من الحارس وانقاذ من الدفاع بس التمريرات كلها غير دقيقة واستحواذ ضعيف ب سيناريو تاني كان ممكن تخلص 3 صفر ل كندا,neutral,0.0,"['رفعوا ضغطي', 'افريقيا رفعوا', 'التمريرات كلها']","[('رفعوا ضغطي', 'ORG'), ('التمريرات كلها غير دقيقة واستحواذ', 'PERSON')]",9
@nandssharon9030,2026-06-28T22:52:19Z,0,It's was African team vs African team 😂😂😂 I saw Canadian team with the same type of hair like mine 🤭🤨🤨🤨,HW51rM36Ark,it s was african team vs african team i saw canadian team with the same type of hair like mine,positive,0.3612,"['african team', 'canadian team', 'vs african']",[],16
@EdwardKenway007,2026-06-28T22:48:47Z,0,ودي يا كندي 😂,HW51rM36Ark,ودي يا كندي,neutral,0.0,"['يا كندي', 'كندي', 'ودي يا']","[('ودي يا كندي', 'ORG')]",9
@ArtHeights-s2d3b,2026-06-28T22:43:53Z,2,"So happy, south Africa go 🏡,  congratulations Canada 🎉",HW51rM36Ark,so happy south africa go congratulations canada,positive,0.8357,"['congratulations canada', 'africa congratulations', 'south africa']","[('south africa', 'GPE'), ('congratulations canada', 'ORG')]",16
@sguitirahmed1375,2026-06-28T22:30:51Z,3,"من المغرب 🇲🇦 
هنيئا لأبناء عمتي الكنديين 😁التأهيل😂",HW51rM36Ark,من المغرب هنيئا لأبناء عمتي الكنديين التأهيل,neutral,0.0,"['المغرب هنيئا', 'الكنديين التأهيل', 'هنيئا لأبناء']","[('من المغرب هنيئا لأبناء عمتي الكنديين', 'PERSON')]",9
@فتحيعزالدين-ج4ض,2026-06-28T22:28:40Z,3,Team Canada was a team from the African continent,HW51rM36Ark,team canada was a team from the african continent,neutral,0.0,"['canada team', 'team canada', 'team african']","[('team canada', 'ORG')]",16
@yogendralamtarimagar4195,2026-06-28T22:28:35Z,3,Congratulation Canada I'm watching from Nepal🇳🇵🇳🇵,HW51rM36Ark,congratulation canada i am watching from nepal,positive,0.5994,"['congratulation canada', 'watching nepal', 'canada watching']","[('congratulation canada', 'ORG')]",16
@LanacondaMortel-x1b,2026-06-28T22:23:08Z,1,Grosse grosse félicitations  tout les Canadiens pour leur calif de la part du MAGESTIEUX et  AUTHENTIQUE LION DE L'ATLAS.❤❤❤,HW51rM36Ark,grosse grosse félicitations tout les canadiens pour leur calif de la part du magestieux et authentique lion de l atlas,positive,0.3612,"['magestieux et', 'les canadiens', 'du magestieux']","[('calif de la', 'ORG'), ('magestieux', 'ORG'), ('lion de l', 'ORG')]",39
@melodicanime5412,2026-06-28T22:22:43Z,1,Football stands for unity not xénophobia,HW51rM36Ark,football stands for unity not xénophobia,neutral,0.0,"['unity xénophobia', 'xénophobia', 'football stands']",[],10
@juzsean,2026-06-28T22:21:45Z,0,9:22 Indian 😂,HW51rM36Ark,9 22 indian,neutral,0.0,"['22 indian', 'indian', '22']",[],-1
@bassenecyrille4348,2026-06-28T22:20:32Z,0,Congratulation Canada,HW51rM36Ark,congratulation canada,positive,0.5994,"['congratulation canada', 'congratulation', 'canada']","[('congratulation canada', 'ORG')]",16
@Akrambinnoor.001,2026-06-28T22:15:50Z,1,অসাধারণ কানাডা,HW51rM36Ark,অস ধ রণ ক ন ড,neutral,0.0,"['অস রণ', 'অস', 'রণ']",[],83
@Hussinalashpat,2026-06-28T22:15:10Z,11,"Bafana Bafana should not worry, only one team will win the trophy, the rest will join them",HW51rM36Ark,bafana bafana should not worry only one team will win the trophy the rest will join them,positive,0.8129,"['bafana worry', 'bafana bafana', 'bafana']","[('bafana bafana', 'PERSON')]",-1
@mymarr-w4y,2026-06-28T22:09:38Z,1,congratulation canada from morocco,HW51rM36Ark,congratulation canada from morocco,positive,0.5994,"['congratulation canada', 'canada morocco', 'morocco']","[('congratulation canada', 'ORG'), ('morocco', 'GPE')]",16
@gogotammihack,2026-06-28T22:02:52Z,0,Black players in Canada will do anything to get citizenship,HW51rM36Ark,black players in canada will do anything to get citizenship,neutral,0.0,"['canada citizenship', 'players canada', 'black players']","[('canada', 'GPE')]",16
@القرآن_العظيم-ب9ه,2026-06-28T22:02:47Z,0,"*ثقِل بِها موازينـك*📿 : 

سُبحان الله ، الحمدلله ، لا إله إلا الله 
الله أكبُر ، لا حول ولا قوة إلا بالله",HW51rM36Ark,ثق ل ب ها موازينـك س بحان الله الحمدلله لا إله إلا الله الله أكب ر لا حول ولا قوة إلا بالله,neutral,0.0,"['موازينـك بحان', 'بحان الله', 'ثق ها']","[('موازينـك', 'PERSON')]",9
@ZenZanoman,2026-06-28T21:56:28Z,0,Canada will meet Morocco in ⅛ after having beaten Netherlands,HW51rM36Ark,canada will meet morocco in ⅛ after having beaten netherlands,negative,-0.4215,"['meet morocco', 'canada meet', 'morocco']","[('canada', 'GPE'), ('morocco', 'GPE'), ('⅛', 'GPE'), ('netherlands', 'GPE')]",16
@perfectcell1157,2026-06-28T21:52:20Z,1,Very good game from both sides,HW51rM36Ark,very good game from both sides,positive,0.4927,"['game sides', 'good game', 'sides']",[],46
@MuhammadYasir-q4h,2026-06-28T21:50:36Z,2,"Congratulations 🎊 to Canada 
Well played South Africa",HW51rM36Ark,congratulations to canada well played south africa,positive,0.8126,"['congratulations canada', 'canada played', 'south africa']","[('canada', 'GPE'), ('south africa', 'GPE')]",16
@anahowa7605,2026-06-28T21:49:33Z,1,Congratulations Canada. They were the best. Love from Morocco ❤❤❤,HW51rM36Ark,congratulations canada they were the best love from morocco,positive,0.9231,"['love morocco', 'congratulations canada', 'canada best']","[('canada', 'GPE'), ('morocco', 'GPE')]",16
@Crazyfootballchallengesindia,2026-06-28T21:45:57Z,2,Hard luck south Africa 🫶 and congratulations to Canada,HW51rM36Ark,hard luck south africa and congratulations to canada,positive,0.7579,"['africa congratulations', 'congratulations canada', 'south africa']","[('south africa', 'GPE'), ('canada', 'GPE')]",16
@Issa-f6v5j,2026-06-28T21:40:35Z,5,"The Knesset decides to execute Palestinian prisoners in a wicked criminal move. Do not stay silent; spread the word now!
#SavePalestinianPrisoners",HW51rM36Ark,the knesset decides to execute palestinian prisoners in a wicked criminal move do not stay silent spread the word now savepalestinianprisoners,negative,-0.8779,"['execute palestinian', 'palestinian prisoners', 'knesset decides']",[],9
@PrinceHalamadrid,2026-06-28T21:40:31Z,35,"If the Tunisia  is not in a hurry, they can wait for South Africa  so they can both go home together. 😗😗🇹🇳🇿🇦",HW51rM36Ark,if the tunisia is not in a hurry they can wait for south africa so they can both go home together,neutral,0.0,"['tunisia hurry', 'tunisia', 'south africa']","[('south africa', 'GPE')]",16
@EmmanuelNti-e5s,2026-06-28T21:37:46Z,0,Go berk and fix your country 😂😂😂,HW51rM36Ark,go berk and fix your country,neutral,0.0,"['berk fix', 'fix country', 'berk']",[],124
@Sammy_M_M,2026-06-28T21:37:17Z,8,So happy for my Canada,HW51rM36Ark,so happy for my canada,positive,0.6115,"['happy canada', 'canada', 'happy']","[('canada', 'GPE')]",16
@paradiseparadise9312,2026-06-28T21:34:50Z,2,"Thanks GOD, CANADIAN justice has triumphed over South Africa racism",HW51rM36Ark,thanks god canadian justice has triumphed over south africa racism,positive,0.7579,"['canadian justice', 'africa racism', 'justice triumphed']","[('south africa', 'GPE')]",16
@Aw.369,2026-06-28T21:31:26Z,0,"The calm nature of the Canadians outperformed the enthusiasm of the Bafana Bafana team🙂
The level of the two teams is somewhat close, I think the Canadian team will also leave the tournament in the next match, the storm is coming, this calmness cannot deal with it.

Generally, the two teams played well.
Blessings to the two teams.. and congratulations to Canada",HW51rM36Ark,the calm nature of the canadians outperformed the enthusiasm of the bafana bafana team the level of the two teams is somewhat close i think the canadian team will also leave the tournament in the next match the storm is coming this calmness cannot deal with it generally the two teams played well blessings to the two teams and congratulations to canada,positive,0.9585,"['canadian team', 'canadians outperformed', 'bafana team']","[('canada', 'GPE')]",16
@xuxushushu,2026-06-28T21:26:39Z,10,Congratulations Canada! 🇨🇦❤️,HW51rM36Ark,congratulations canada,positive,0.5994,"['congratulations canada', 'congratulations', 'canada']","[('canada', 'GPE')]",16
@abdulsalam563,2026-06-28T21:26:36Z,0,Elimination for banana bafana۔۔۔۔۔I am a supporter of African nations,HW51rM36Ark,elimination for banana bafana i am a supporter of african nations,positive,0.2732,"['banana bafana', 'bafana supporter', 'elimination banana']",[],16
@AnisAbdelkader-s3k,2026-06-28T21:25:34Z,0,خطئ بدائي. ممنوع منعا باتا إخراج الكرة من طرف المدافع إلى وسط الميدان . من المفروض إخراجها للجانبين. او إخراجها بقوة لكي تصل لوسط الميدان وتبعد الخطر. حظ موفق للبافانا بافانا,HW51rM36Ark,خطئ بدائي ممنوع منعا باتا إخراج الكرة من طرف المدافع إلى وسط الميدان من المفروض إخراجها للجانبين او إخراجها بقوة لكي تصل لوسط الميدان وتبعد الخطر حظ موفق للبافانا بافانا,neutral,0.0,"['خطئ بدائي', 'الميدان وتبعد', 'وسط الميدان']","[('منعا', 'PERSON'), ('الكرة من', 'PERSON'), ('لوسط الميدان وتبعد الخطر', 'PERSON')]",9
@ZarwatMouhamed,2026-06-28T21:25:09Z,2,منتخب كندا ضعيف وجنوب أفريقيا أضعف,HW51rM36Ark,منتخب كندا ضعيف وجنوب أفريقيا أضعف,neutral,0.0,"['كندا ضعيف', 'منتخب كندا', 'أفريقيا أضعف']","[('منتخب كندا ضعيف وجنوب', 'ORG')]",9
@mominurrahman4806,2026-06-28T21:24:59Z,32,"Congratulations Canada 🎉

But also South Africa played very very well today ❤",HW51rM36Ark,congratulations canada but also south africa played very very well today,positive,0.8425,"['africa played', 'congratulations canada', 'south africa']","[('congratulations canada but', 'ORG'), ('south africa', 'GPE')]",16
@mardigabajian4509,2026-06-28T21:24:53Z,0,Thanks,HW51rM36Ark,thanks,positive,0.4404,[],[],19
@UarBlack-jl5kt,2026-06-28T21:23:47Z,2,Boring match,HW51rM36Ark,boring match,negative,-0.3182,"['boring match', 'boring', 'match']",[],18
@BB-2000,2026-06-28T21:23:33Z,0,Oh Canada!,HW51rM36Ark,oh canada,neutral,0.0,[],"[('canada', 'GPE')]",124
@السيديوسف-خ3م,2026-06-28T21:22:33Z,3,كندا طول الماتش بتهاجم,HW51rM36Ark,كندا طول الماتش بتهاجم,neutral,0.0,"['كندا طول', 'الماتش بتهاجم', 'كندا']","[('كندا طول', 'PERSON')]",9
@Adamnajdi1994,2026-06-28T21:20:01Z,0,Davies played like garbage,HW51rM36Ark,davies played like garbage,positive,0.5994,"['davies played', 'davies', 'garbage']",[],-1
@Mosa-Shahein,2026-06-28T21:17:44Z,1,*I have watched it live and both of these teams got what they deserved.*,HW51rM36Ark,i have watched it live and both of these teams got what they deserved,neutral,0.0,"['watched live', 'got deserved', 'deserved']",[],-1
@MahoudWalied-m1o,2026-06-28T21:16:33Z,2,مباراة موملة جدا انا قفلت التلفزيون من غير ما النتيجة 😂😂,HW51rM36Ark,مباراة موملة جدا انا قفلت التلفزيون من غير ما النتيجة,neutral,0.0,"['قفلت التلفزيون', 'التلفزيون من', 'ما النتيجة']","[('موملة جدا', 'PERSON')]",9
@Aw.369,2026-06-28T21:15:27Z,13,"بما ان عدد الدول المشاركة  اصبح اكبر فدوري المجموعات  يمكن ان نعتبره مجرد ملحق للتاهل لكاس العالم 
كاس العالم يبدأ الان",HW51rM36Ark,بما ان عدد الدول المشاركة اصبح اكبر فدوري المجموعات يمكن ان نعتبره مجرد ملحق للتاهل لكاس العالم كاس العالم يبدأ الان,neutral,0.0,"['الدول المشاركة', 'المجموعات يمكن', 'فدوري المجموعات']","[('بما', 'PERSON'), ('نعتبره', 'ORG'), ('العالم كاس العالم يبدأ', 'ORG'), ('الان', 'ORG')]",9
